INCIDENCE_CITY_ID,NPA,GNR,EXP,DATE_FROM,DATE_TO,TEXT_FR,text_en
8008999,999999,8008,8008,2001-03-20T14:00:00Z,NA,GLARIS,GLARIS
8009999,999999,8009,8009,2001-03-20T14:00:00Z,NA,ZOUG,ZOUG
8010999,999999,8010,8010,2001-03-20T14:00:00Z,NA,FRIBOURG,FRIBOURG
8011999,999999,8011,8011,2001-03-20T14:00:00Z,NA,SOLEURE,SOLEURE
8012999,999999,8012,8012,2001-03-20T14:00:00Z,NA,BALE-VILLE,BALE-VILLE
8013999,999999,8013,8013,2001-03-20T14:00:00Z,NA,BALE-CAMPAGNE,BALE-CAMPAGNE
8014999,999999,8014,8014,2001-03-20T14:00:00Z,NA,SCHAFFHOUSE,SCHAFFHOUSE
8015999,999999,8015,8015,2001-03-20T14:00:00Z,NA,APPENZELL R.Ext.,APPENZELL R.Ext.
8016999,999999,8016,8016,2001-03-20T14:00:00Z,NA,APPENZELL R.Int.,APPENZELL R.Int.
8017999,999999,8017,8017,2001-03-20T14:00:00Z,NA,ST-GALL,ST-GALL
8018999,999999,8018,8018,2001-03-20T14:00:00Z,NA,GRISONS,GRISONS
8019999,999999,8019,8019,2001-03-20T14:00:00Z,NA,ARGOVIE,ARGOVIE
8020999,999999,8020,8020,2001-03-20T14:00:00Z,NA,THURGOVIE,THURGOVIE
8021999,999999,8021,8021,2001-03-20T14:00:00Z,NA,TESSIN,TESSIN
8022999,999999,8022,8022,2001-03-20T14:00:00Z,NA,VAUD,VAUD
8023999,999999,8023,8023,2001-03-20T14:00:00Z,NA,VALAIS,VALAIS
8024999,999999,8024,8024,2001-03-20T14:00:00Z,NA,NEUCHATEL,NEUCHATEL
8026999,999999,8026,8026,2001-03-20T14:00:00Z,NA,JURA,JURA
8100999,999999,8100,8100,2001-03-20T14:00:00Z,NA,SUISSE,SUISSE
8201999,999999,8201,8201,2001-03-20T14:00:00Z,NA,ALBANIE,ALBANIE
8202999,999999,8202,8202,2001-03-20T14:00:00Z,NA,ANDORRE,ANDORRE
8204999,999999,8204,8204,2001-03-20T14:00:00Z,NA,BELGIQUE,BELGIQUE
8205999,999999,8205,8205,2001-03-20T14:00:00Z,NA,BULGARIE,BULGARIE
8206999,999999,8206,8206,2001-03-20T14:00:00Z,NA,DANEMARK,DANEMARK
8207999,999999,8207,8207,2001-03-20T14:00:00Z,NA,REPUBLIQUE FEDERALE D'ALLEMAGNE,REPUBLIQUE FEDERALE D'ALLEMAGNE
8211999,999999,8211,8211,2001-03-20T14:00:00Z,NA,FINLANDE,FINLANDE
8212999,999999,8212,8212,2001-03-20T14:00:00Z,NA,FRANCE,FRANCE
8214999,999999,8214,8214,2001-03-20T14:00:00Z,NA,GRECE,GRECE
8215999,999999,8215,8215,2001-03-20T14:00:00Z,NA,ROYAUME-UNI,ROYAUME-UNI
8216999,999999,8216,8216,2001-03-20T14:00:00Z,NA,IRLANDE,IRLANDE
8218999,999999,8218,8218,2001-03-20T14:00:00Z,NA,ITALIE,ITALIE
8220999,999999,8220,8220,2001-03-20T14:00:00Z,NA,YOUGOSLAVIE jusqu'à 8-1999,YOUGOSLAVIE jusqu'à 8-1999
8222999,999999,8222,8222,2001-03-20T14:00:00Z,NA,LIECHTENSTEIN,LIECHTENSTEIN
8223999,999999,8223,8223,2001-03-20T14:00:00Z,NA,LUXEMBOURG,LUXEMBOURG
8224999,999999,8224,8224,2001-03-20T14:00:00Z,NA,MALTE,MALTE
8226999,999999,8226,8226,2001-03-20T14:00:00Z,NA,MONACO,MONACO
8227999,999999,8227,8227,2001-03-20T14:00:00Z,NA,PAYS-BAS,PAYS-BAS
8228999,999999,8228,8228,2001-03-20T14:00:00Z,NA,NORVEGE,NORVEGE
8229999,999999,8229,8229,2001-03-20T14:00:00Z,NA,AUTRICHE,AUTRICHE
8230999,999999,8230,8230,2001-03-20T14:00:00Z,NA,POLOGNE,POLOGNE
8231999,999999,8231,8231,2001-03-20T14:00:00Z,NA,PORTUGAL,PORTUGAL
8232999,999999,8232,8232,2001-03-20T14:00:00Z,NA,ROUMANIE,ROUMANIE
8233999,999999,8233,8233,2001-03-20T14:00:00Z,NA,SAINT-MARIN,SAINT-MARIN
8234999,999999,8234,8234,2001-03-20T14:00:00Z,NA,SUEDE,SUEDE
8235999,999999,8235,8235,2001-03-20T14:00:00Z,NA,UNION SOVIETIQUE  (URSS),UNION SOVIETIQUE  (URSS)
8236999,999999,8236,8236,2001-03-20T14:00:00Z,NA,ESPAGNE,ESPAGNE
8238999,999999,8238,8238,2001-03-20T14:00:00Z,NA,TCHECOSLOVAQUIE,TCHECOSLOVAQUIE
8239999,999999,8239,8239,2001-03-20T14:00:00Z,NA,TURQUIE,TURQUIE
8240999,999999,8240,8240,2001-03-20T14:00:00Z,NA,HONGRIE,HONGRIE
8242999,999999,8242,8242,2001-03-20T14:00:00Z,NA,CHYPRE,CHYPRE
8243999,999999,8243,8243,2001-03-20T14:00:00Z,NA,REPUBLIQUE SLOVAQUE,REPUBLIQUE SLOVAQUE
8244999,999999,8244,8244,2001-03-20T14:00:00Z,NA,REPUBLIQUE TCHEQUE,REPUBLIQUE TCHEQUE
8250999,999999,8250,8250,2001-03-20T14:00:00Z,NA,CROATIE,CROATIE
8252999,999999,8252,8252,2001-03-20T14:00:00Z,NA,BOSNIE-HERZEGOVINE,BOSNIE-HERZEGOVINE
8253999,999999,8253,8253,2001-03-20T14:00:00Z,NA,SERBIE/YU,SERBIE/YU
8254999,999999,8254,8254,2001-03-20T14:00:00Z,NA,MONTENEGRO/YU,MONTENEGRO/YU
8255999,999999,8255,8255,2001-03-20T14:00:00Z,NA,MACEDOINE (ex-Rép YU),MACEDOINE (ex-Rép YU)
8256999,999999,8256,8256,2001-03-20T14:00:00Z,NA,KOSOVO/YU,KOSOVO/YU
8259999,999999,8259,8259,2001-03-20T14:00:00Z,NA,Yougoslavie rép. féd. à partir de 8/1997,Yougoslavie rép. féd. à partir de 8/1997
8262999,999999,8262,8262,2001-03-20T14:00:00Z,NA,Lituanie,Lituanie
8264999,999999,8264,8264,2001-03-20T14:00:00Z,NA,Russie,Russie
8265999,999999,8265,8265,2001-03-20T14:00:00Z,NA,Ukraine,Ukraine
8266999,999999,8266,8266,2001-03-20T14:00:00Z,NA,Bélarus,Bélarus
8300999,999999,8300,8300,2001-03-20T14:00:00Z,NA,Afrique SAI,Afrique SAI
8301999,999999,8301,8301,2001-03-20T14:00:00Z,NA,Guinée équatoriale,Guinée équatoriale
8302999,999999,8302,8302,2001-03-20T14:00:00Z,NA,Ethiopie,Ethiopie
8304999,999999,8304,8304,2001-03-20T14:00:00Z,NA,Algérie,Algérie
8305999,999999,8305,8305,2001-03-20T14:00:00Z,NA,Angola,Angola
8309999,999999,8309,8309,2001-03-20T14:00:00Z,NA,Bénin,Bénin
8310999,999999,8310,8310,2001-03-20T14:00:00Z,NA,Côte d'Ivoire,Côte d'Ivoire
8311999,999999,8311,8311,2001-03-20T14:00:00Z,NA,Gabon,Gabon
8313999,999999,8313,8313,2001-03-20T14:00:00Z,NA,Ghana,Ghana
8315999,999999,8315,8315,2001-03-20T14:00:00Z,NA,Guinée,Guinée
8317999,999999,8317,8317,2001-03-20T14:00:00Z,NA,Cameroun,Cameroun
8319999,999999,8319,8319,2001-03-20T14:00:00Z,NA,Cap-Vert,Cap-Vert
8320999,999999,8320,8320,2001-03-20T14:00:00Z,NA,Kenya,Kenya
8321999,999999,8321,8321,2001-03-20T14:00:00Z,NA,Comores,Comores
8322999,999999,8322,8322,2001-03-20T14:00:00Z,NA,Congo,Congo
8323999,999999,8323,8323,2001-03-20T14:00:00Z,NA,Congo république démocratique  ex. Zaïre,Congo république démocratique  ex. Zaïre
8325999,999999,8325,8325,2001-03-20T14:00:00Z,NA,Libéria,Libéria
8326999,999999,8326,8326,2001-03-20T14:00:00Z,NA,Libye,Libye
8327999,999999,8327,8327,2001-03-20T14:00:00Z,NA,Madagascar,Madagascar
8329999,999999,8329,8329,2001-03-20T14:00:00Z,NA,Malawi,Malawi
8330999,999999,8330,8330,2001-03-20T14:00:00Z,NA,Mali,Mali
8331999,999999,8331,8331,2001-03-20T14:00:00Z,NA,Maroc,Maroc
8332999,999999,8332,8332,2001-03-20T14:00:00Z,NA,Mauritanie,Mauritanie
8333999,999999,8333,8333,2001-03-20T14:00:00Z,NA,Ile Maurice,Ile Maurice
8335999,999999,8335,8335,2001-03-20T14:00:00Z,NA,Niger,Niger
8336999,999999,8336,8336,2001-03-20T14:00:00Z,NA,Nigéria,Nigéria
8337999,999999,8337,8337,2001-03-20T14:00:00Z,NA,Burkina Faso,Burkina Faso
8340999,999999,8340,8340,2001-03-20T14:00:00Z,NA,Zimbabwe,Zimbabwe
8341999,999999,8341,8341,2001-03-20T14:00:00Z,NA,Rwanda,Rwanda
8343999,999999,8343,8343,2001-03-20T14:00:00Z,NA,Zambie,Zambie
8345999,999999,8345,8345,2001-03-20T14:00:00Z,NA,Sénégal,Sénégal
8348999,999999,8348,8348,2001-03-20T14:00:00Z,NA,Somalie,Somalie
