gender,period,cat_age_map,gnr,nbcas,geo_unit_name,pop
2,2007,65+,6610,5,Céligny,164
1,1995,65+,6636,3,Puplinge,166
1,2004,65+,6614,3,Choulex,166
2,2001,65+,6615,2,Collex-Bossy,166
1,1989,0-19,6635,0,Presinge,167
1,1989,65+,6626,3,Jussy,168
1,1998,65+,6626,4,Jussy,168
1,1992,65+,6606,3,Bellevue,169
1,2010,0-19,6637,0,Russin,169
1,2013,65+,6610,1,Céligny,169
1,2001,65+,6604,3,Avusy,170
2,1989,0-19,6639,0,Soral,170
2,1995,65+,6609,2,Cartigny,170
1,2010,65+,6611,3,Chancy,171
1,2010,65+,6627,3,Laconnex,171
1,2010,65+,6639,4,Soral,171
1,2013,0-19,6637,0,Russin,171
1,2016,0-19,6624,0,Gy,172
2,2010,65+,6627,3,Laconnex,172
1,1992,65+,6614,4,Choulex,173
1,2007,0-19,6624,0,Gy,173
2,2004,65+,6604,3,Avusy,173
1,1995,0-19,6624,0,Gy,174
2,1998,65+,6609,3,Cartigny,174
2,1995,0-19,6624,0,Gy,175
2,2001,65+,6609,2,Cartigny,175
2,2010,65+,6610,4,Céligny,175
1,1995,65+,6606,2,Bellevue,176
1,1998,0-19,6637,0,Russin,176
1,2001,0-19,6637,0,Russin,176
2,2010,0-19,6637,0,Russin,176
1,1989,65+,6614,2,Choulex,177
2,2010,65+,6611,5,Chancy,177
1,2010,65+,6635,5,Presinge,179
1,2013,0-19,6624,0,Gy,179
2,1998,65+,6639,2,Soral,179
2,2004,65+,6609,7,Cartigny,179
2,2019,0-19,6624,0,Gy,179
1,2004,0-19,6624,0,Gy,180
1,2007,65+,6609,3,Cartigny,180
2,1989,65+,6603,3,Avully,180
1,2001,65+,6614,5,Choulex,181
1,2010,0-19,6624,0,Gy,182
1,1989,65+,6619,2,Corsier,183
2,2010,65+,6601,1,Aire-la-Ville,183
2,1998,0-19,6639,0,Soral,184
1,1989,65+,6632,4,Perly-Certoux,186
2,2001,0-19,6627,0,Laconnex,186
1,1992,0-19,6627,0,Laconnex,187
1,2010,65+,6625,5,Hermance,187
2,1998,65+,6603,2,Avully,187
1,1995,65+,6614,5,Choulex,190
1,1998,0-19,6635,0,Presinge,190
1,2016,65+,6610,9,Céligny,190
1,1995,0-19,6627,0,Laconnex,191
1,2001,65+,6626,3,Jussy,191
1,2019,65+,6610,1,Céligny,191
2,1992,0-19,6639,0,Soral,191
2,1989,0-19,6635,0,Presinge,193
2,2001,65+,6603,3,Avully,193
2,2013,65+,6610,6,Céligny,193
1,1992,65+,6632,5,Perly-Certoux,194
1,1995,0-19,6635,1,Presinge,194
1,1998,65+,6606,5,Bellevue,194
1,2001,0-19,6624,0,Gy,194
1,2004,65+,6604,10,Avusy,194
1,2013,65+,6601,6,Aire-la-Ville,195
2,1998,65+,6606,4,Bellevue,195
2,2001,0-19,6639,0,Soral,195
2,1989,65+,6636,0,Puplinge,196
2,1989,65+,6625,4,Hermance,197
2,1995,0-19,6639,0,Soral,197
2,2004,0-19,6624,0,Gy,197
2,2016,0-19,6624,0,Gy,197
1,2016,0-19,6627,0,Laconnex,198
1,1989,0-19,6601,0,Aire-la-Ville,199
1,1998,65+,6614,3,Choulex,199
1,2019,0-19,6627,0,Laconnex,199
2,2013,0-19,6627,0,Laconnex,199
2,2013,65+,6627,2,Laconnex,199
2,1995,65+,6626,2,Jussy,200
2,1998,0-19,6624,0,Gy,200
1,2013,65+,6627,1,Laconnex,201
2,1995,0-19,6627,0,Laconnex,201
2,1998,0-19,6627,0,Laconnex,201
1,1989,65+,6602,5,Anières,202
1,2007,65+,6614,8,Choulex,202
1,2013,65+,6639,5,Soral,202
2,2004,65+,6615,1,Collex-Bossy,202
2,2010,0-19,6624,0,Gy,202
2,2016,0-19,6635,0,Presinge,202
1,2001,65+,6615,4,Collex-Bossy,203
1,2007,0-19,6635,0,Presinge,203
1,2013,0-19,6627,0,Laconnex,203
1,2013,65+,6635,2,Presinge,203
1,1989,65+,6629,2,Meinier,204
2,1989,65+,6626,1,Jussy,204
2,1989,65+,6635,6,Presinge,204
1,1989,0-19,6627,0,Laconnex,205
1,1998,0-19,6624,0,Gy,205
1,2004,65+,6603,3,Avully,206
2,1992,65+,6626,2,Jussy,206
2,1992,65+,6636,3,Puplinge,206
2,2007,0-19,6624,0,Gy,206
1,1998,0-19,6627,0,Laconnex,208
1,2010,65+,6609,2,Cartigny,208
1,2016,65+,6601,2,Aire-la-Ville,208
2,1992,65+,6625,3,Hermance,208
2,1998,65+,6626,2,Jussy,208
2,2007,65+,6609,5,Cartigny,208
1,2004,0-19,6635,0,Presinge,209
2,1989,0-19,6601,0,Aire-la-Ville,209
2,2001,0-19,6624,0,Gy,209
2,2007,65+,6604,8,Avusy,209
2,2013,65+,6635,1,Presinge,209
1,2013,65+,6625,5,Hermance,210
2,1995,65+,6625,6,Hermance,210
2,2013,65+,6601,4,Aire-la-Ville,210
2,1998,65+,6625,6,Hermance,211
2,1998,65+,6635,3,Presinge,212
1,2013,65+,6611,1,Chancy,213
2,1995,65+,6635,2,Presinge,214
2,2001,65+,6639,8,Soral,214
2,2010,65+,6635,2,Presinge,214
2,2019,65+,6610,6,Céligny,214
2,1992,0-19,6627,0,Laconnex,215
2,2001,65+,6626,2,Jussy,215
2,2004,0-19,6610,0,Céligny,215
2,2004,0-19,6639,0,Soral,215
1,1992,65+,6619,3,Corsier,216
1,2010,0-19,6635,0,Presinge,216
1,2016,65+,6635,2,Presinge,216
2,1998,0-19,6635,0,Presinge,216
2,2010,0-19,6627,0,Laconnex,216
1,1998,0-19,6639,0,Soral,217
2,1989,65+,6619,5,Corsier,217
2,2010,65+,6609,4,Cartigny,217
1,2016,65+,6639,5,Soral,218
2,2016,0-19,6627,0,Laconnex,218
2,2016,65+,6610,2,Céligny,218
1,2001,0-19,6627,0,Laconnex,219
1,1995,65+,6619,5,Corsier,220
1,2007,65+,6604,3,Avusy,220
1,2016,65+,6627,6,Laconnex,221
2,2019,0-19,6635,0,Presinge,222
1,1998,65+,6636,5,Puplinge,223
1,2004,65+,6615,7,Collex-Bossy,223
1,2004,65+,6626,2,Jussy,225
1,2019,65+,6627,1,Laconnex,225
1,2016,65+,6609,6,Cartigny,226
2,1992,0-19,6635,0,Presinge,226
2,2019,0-19,6627,0,Laconnex,226
1,2019,0-19,6635,0,Presinge,227
2,1989,0-19,6627,0,Laconnex,227
2,1992,65+,6635,4,Presinge,227
2,2007,0-19,6610,0,Céligny,227
2,2013,0-19,6624,1,Gy,227
2,2013,65+,6611,2,Chancy,228
2,2019,65+,6627,2,Laconnex,228
1,1992,65+,6629,6,Meinier,229
1,2013,65+,6609,2,Cartigny,229
2,2016,65+,6627,3,Laconnex,229
2,1995,0-19,6610,0,Céligny,230
1,1989,20-64,6624,0,Gy,232
2,2004,0-19,6627,0,Laconnex,232
1,2010,0-19,6627,0,Laconnex,233
1,1992,0-19,6601,1,Aire-la-Ville,234
1,1995,65+,6632,5,Perly-Certoux,234
1,2016,0-19,6635,0,Presinge,234
2,2013,0-19,6635,0,Presinge,234
1,2010,65+,6614,10,Choulex,235
2,2007,0-19,6627,1,Laconnex,235
1,1989,65+,6622,7,Genthod,236
1,1995,0-19,6639,0,Soral,236
1,2007,0-19,6627,1,Laconnex,236
2,2016,65+,6601,1,Aire-la-Ville,236
1,2019,65+,6635,12,Presinge,238
2,1989,65+,6632,2,Perly-Certoux,238
2,2004,65+,6639,6,Soral,238
1,1989,0-19,6639,0,Soral,239
1,2019,65+,6609,5,Cartigny,239
2,1989,20-64,6624,1,Gy,239
2,2004,65+,6626,2,Jussy,239
2,2010,0-19,6635,0,Presinge,239
1,1989,0-19,6609,0,Cartigny,240
1,2004,0-19,6627,0,Laconnex,240
2,2007,65+,6639,3,Soral,240
1,2001,0-19,6639,0,Soral,241
1,2016,65+,6625,4,Hermance,241
2,1998,0-19,6610,0,Céligny,241
2,2001,65+,6606,0,Bellevue,241
2,2001,65+,6635,3,Presinge,241
2,2007,65+,6635,6,Presinge,241
1,2001,0-19,6635,0,Presinge,242
2,1992,0-19,6610,0,Céligny,242
2,2001,0-19,6610,0,Céligny,242
1,2013,0-19,6635,0,Presinge,244
2,1995,0-19,6625,0,Hermance,244
2,2004,65+,6635,1,Presinge,245
2,2016,65+,6635,3,Presinge,245
1,2016,65+,6611,7,Chancy,246
2,2007,65+,6615,4,Collex-Bossy,246
1,1998,65+,6619,4,Corsier,247
1,2004,0-19,6639,0,Soral,247
2,1989,0-19,6611,0,Chancy,247
2,1989,65+,6629,4,Meinier,247
2,1995,65+,6636,2,Puplinge,247
2,2001,65+,6625,4,Hermance,247
2,2004,65+,6603,2,Avully,247
2,1989,0-19,6625,0,Hermance,248
2,1998,0-19,6625,0,Hermance,248
1,1989,0-19,6614,0,Choulex,249
1,2001,65+,6606,5,Bellevue,249
2,2004,0-19,6635,0,Presinge,249
2,2004,65+,6625,11,Hermance,249
2,2013,65+,6609,2,Cartigny,249
1,1995,0-19,6601,0,Aire-la-Ville,250
1,1998,0-19,6609,0,Cartigny,250
2,1992,65+,6619,5,Corsier,250
1,2001,65+,6636,8,Puplinge,252
1,2019,65+,6601,6,Aire-la-Ville,254
2,1989,0-19,6609,0,Cartigny,254
2,2010,0-19,6610,0,Céligny,254
2,2016,65+,6609,4,Cartigny,254
2,1992,0-19,6625,0,Hermance,255
2,2007,0-19,6635,0,Presinge,255
1,1989,65+,6641,5,Troinex,256
1,1992,0-19,6639,1,Soral,256
1,1995,65+,6602,5,Anières,256
2,2001,0-19,6635,0,Presinge,256
2,2013,0-19,6639,0,Soral,256
1,2007,65+,6603,6,Avully,257
2,1989,0-19,6614,0,Choulex,257
1,2019,65+,6639,4,Soral,258
1,1992,65+,6602,3,Anières,259
1,2016,0-19,6639,0,Soral,259
2,1995,0-19,6635,0,Presinge,259
2,2007,0-19,6639,0,Soral,260
2,2010,65+,6639,2,Soral,261
1,1992,20-64,6624,1,Gy,262
1,2007,65+,6626,2,Jussy,262
1,1989,0-19,6625,0,Hermance,263
1,1995,65+,6629,2,Meinier,263
